StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID3,QID17,age,gender,ethnicity,education,QID7_Id,QID7_Name,QID7_Size,QID7_Type,ranking,comments,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"This is a consent form. Please read and click below to continue.

You are being asked to take part in a research study on decision-making. Your participation is voluntary and is greatly appreciated. If you agree to be in this study, you will be asked to complete a survey asking you questions about your opinions or questions that have a correct answer. This survey will take approximately 5 minutes to complete, or as described in the posting. You may withdraw your consent to participate at any time and with no penalty by closing this browser window. Additional details of this study are described below.



Eligibility: All U.S. residents over the age of 18 are eligible to participate. However, this survey cannot be taken on a mobile device. You may only participate in this study once; after the first attempt, any additional attempts at this survey will not be approved or compensated.

Risk & Benefits: The risks associated with participation in this study are no greater than those encountered in daily life. There may be no direct benefits to participation, except for the enjoyment of contributing to research.



Compensation: You will receive a fixed payment for completing this survey as described in the posting (approximately $6/hr). Additional compensation may be available in the experiment, depending on the choices that you make. All such bonus opportunities will be explained to you during the study, and you will receive compensation paid via the survey platform shortly after completion of the study. Bonus earnings, if any, may take a few days to be sent.



Confidentiality: Your Participant ID (such as your MTurk or Prolific ID) will be recorded to facilitate compensating you for your participation. This ID will not be linked to your identity. You will never be asked to provide your name or other personally identifying information. The data may be made publicly available following conclusion of the study. In that case, your Participant ID will be removed such that no identifier can link you to your decisions. We will not ask you for any personally identifiable information and cannot link your Participant ID to your identity.



Withdrawal Policy: You may withdraw from this study at any time and with no penalty. To withdraw from this study, close the browser window and return the task via the participation platform.



Contact information: This study is being conducted by David Hagmann (Hong Kong University of Science and Technology). Please contact David (hagmann@ust.hk) with any questions or feedback. The study has been approved by the Internal Review Board at HKUST.



Agreement to Participate: By clicking to continue, you are indicating that you have read this consent form, that you are eligible to participate, and that you voluntarily agree to participate in the study. If you do not wish to participate in this study, you may close the browser window. You may withdraw your consent to participate at any time by closing the browser window and exiting the study.",Please make sure that your Prolific ID is recorded correctly,Age,Gender,Ethnicity,Education,"Instructions

In this research, we are interested in how people perceive others. To do so, we are collecting photos (""selfies"") of people.



Please upload a photo of yourself below. Ensure that your face is visible and that no others are in the picture (that is, do not upload a group photo).



Note that we will show this photo (without identifying information) to other participants on Prolific.



If you do not wish to participate in this survey, you can elect not to upload a photo. If you choose to participate, you will be eligible for a short follow-up survey offering a $2 base payment and a bonus opportunity of up to $1.



You can upload either a JPG or a PNG file. - Id","Instructions

In this research, we are interested in how people perceive others. To do so, we are collecting photos (""selfies"") of people.



Please upload a photo of yourself below. Ensure that your face is visible and that no others are in the picture (that is, do not upload a group photo).



Note that we will show this photo (without identifying information) to other participants on Prolific.



If you do not wish to participate in this survey, you can elect not to upload a photo. If you choose to participate, you will be eligible for a short follow-up survey offering a $2 base payment and a bonus opportunity of up to $1.



You can upload either a JPG or a PNG file. - Name","Instructions

In this research, we are interested in how people perceive others. To do so, we are collecting photos (""selfies"") of people.



Please upload a photo of yourself below. Ensure that your face is visible and that no others are in the picture (that is, do not upload a group photo).



Note that we will show this photo (without identifying information) to other participants on Prolific.



If you do not wish to participate in this survey, you can elect not to upload a photo. If you choose to participate, you will be eligible for a short follow-up survey offering a $2 base payment and a bonus opportunity of up to $1.



You can upload either a JPG or a PNG file. - Size","Instructions

In this research, we are interested in how people perceive others. To do so, we are collecting photos (""selfies"") of people.



Please upload a photo of yourself below. Ensure that your face is visible and that no others are in the picture (that is, do not upload a group photo).



Note that we will show this photo (without identifying information) to other participants on Prolific.



If you do not wish to participate in this survey, you can elect not to upload a photo. If you choose to participate, you will be eligible for a short follow-up survey offering a $2 base payment and a bonus opportunity of up to $1.



You can upload either a JPG or a PNG file. - Type","You will be randomly paired with nine people of your gender who have uploaded selfies. We will recruit new participants of the opposite gender who will be asked to rank the attractiveness of the uploaded selfies from 1 to 10. The final rank is determined by the average of their rankings.


We would now like you to estimate your rank compared to the other Prolific participants of your gender.

Please predict your ranking, on a scale of 1 to 10, where ""1"" is the most attractive participant and ""10"" is the least attractive participant in the group of 10.","Thank you again for taking the time to help us with our research!

Do you have any feedback or comments for the researchers? (optional)",PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID15""}","{""ImportId"":""QID5_FILE_ID""}","{""ImportId"":""QID5_FILE_NAME""}","{""ImportId"":""QID5_FILE_SIZE""}","{""ImportId"":""QID5_FILE_TYPE""}","{""ImportId"":""QID8""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""PROLIFIC_PID""}"
2023-04-27 08:58:19,2023-04-27 08:59:40,IP Address,73.127.146.222,100,80,True,2023-04-27 08:59:42,R_3QK7jACyGfM4faV,,,,,35.0813,-106.6387,anonymous,EN,I agree to participate.,5bd8e057beca730001cf1bf5,30,Female,White or Caucasian,High school diploma or GED,F_3R8Dr7UXmFs86vA,119220323_10158811265994835_5599947284539905650_n.jpg,479008,image/jpeg,6th rank,,5bd8e057beca730001cf1bf5
2023-04-27 09:26:34,2023-04-27 09:27:07,IP Address,173.73.78.88,100,33,True,2023-04-27 09:27:07,R_2QGP1jOIlBNj0UQ,,,,,39.0471,-76.9285,anonymous,EN,I agree to participate.,61129323d2e8576d3115a7d7,22,Female,White or Caucasian,Bachelor’s degree,,,,,,,61129323d2e8576d3115a7d7
2023-04-27 09:30:04,2023-04-27 09:33:16,IP Address,35.145.111.133,100,191,True,2023-04-27 09:33:17,R_2fCFcK3WQT2KqCm,,,,,28.5531,-81.7597,anonymous,EN,I agree to participate.,5d51e7563b105f001956e74a,61,Female,White or Caucasian,"Some college, but no degree",F_2rqZtB48z8BNpCM,IMG_4866.jpg,21391,image/jpeg,6th rank,,5d51e7563b105f001956e74a
2023-04-27 09:32:46,2023-04-27 09:35:33,IP Address,184.57.245.200,100,167,True,2023-04-27 09:35:35,R_cuSW22QnIqmO4CJ,,,,,39.632,-84.2634,anonymous,EN,I agree to participate.,64488a23553ba5078eb6cb9e,60,Female,White or Caucasian,High school diploma or GED,F_1FnbFkmOxfv1Znv,cindy.png,780366,image/png,7th rank,,64488a23553ba5078eb6cb9e
2023-04-27 09:34:55,2023-04-27 09:36:15,IP Address,23.112.178.217,100,79,True,2023-04-27 09:36:16,R_3NVh371T5eS5UeL,,,,,35.2227,-80.7938,anonymous,EN,I agree to participate.,622a426e8900cf2b495353e8,53,Female,Black or African American,"Some college, but no degree",,,,,,,622a426e8900cf2b495353e8
2023-04-27 09:38:39,2023-04-27 09:40:14,IP Address,75.9.181.5,100,94,True,2023-04-27 09:40:17,R_27HZwFV6LhwrZvq,,,,,43.0006,-88.22,anonymous,EN,I agree to participate.,643b0ec10bfaa4da001974ef,50,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",F_UaS1pbP6buG9R5v,Screen Shot 2023-03-30 at 12.42.00 PM.png,3274679,image/png,4th rank,,643b0ec10bfaa4da001974ef
2023-04-27 09:41:02,2023-04-27 09:43:44,IP Address,216.211.156.79,100,161,True,2023-04-27 09:43:46,R_8Hfap5n7v8uzadH,,,,,37.7287,-83.494,anonymous,EN,I agree to participate.,5bdb5e785e77d9000147e94d,55,Female,White or Caucasian,High school diploma or GED,F_3HuE15xy2pOgxh9,WIN_20230427_11_40_35_Pro.jpg,211092,image/jpeg,7th rank,thank you,5bdb5e785e77d9000147e94d
2023-04-27 09:43:08,2023-04-27 09:44:05,IP Address,100.16.115.165,100,57,True,2023-04-27 09:44:07,R_7U8I5jdNMgxPZn3,,,,,39.3709,-76.8003,anonymous,EN,I agree to participate.,6070579d7fda87894277ab05,36,Male,Asian,Bachelor’s degree,,,,,,,6070579d7fda87894277ab05
