"","ProlificID","ResponseId","Condition","QID10","QID11","QID12","QID13","QID14","QID15","QID16","QID17","QID18","QID19","Guess","Gender","Age","Ethnicity","Education","count"
"1","5d1283351716480017019be7","R_1lcUfwyzi3rCl8O","Low","54 feet","x = -2","x15","13","2.07","-34","6","63°","-3","4x2 + 16x + 48",5,"Female",32,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",6
"2","6526ce4262f3620572961085","R_2ZUlJmtTHpKECfw","Low",NA,"x = -2","x15","13",NA,NA,NA,NA,NA,NA,2,"Female",40,"White or Caucasian","Associates or technical degree",3
"3","6564a92654cca521c9d81e4a","R_3iJ9n1yyS9WQKIF","High","113 feet","x - 2 = y","x15","13","2.060154","14","8","117°","-3","4x2 + 16x + 16",5,"Female",71,"Black or African American","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",3
"4","611422d77a092e25de5b1bca","R_3Rt5Abj3R9YaW7T","High","113 feet","x = -2y","x15","13","5.05","-22","6","63°","-6","4x2 + 16x + 48",5,"Female",63,"White or Caucasian","Bachelor’s degree",5
"5","655a8779b6b320720bad2814","R_27yCrVTzlsCtrBp","High","113 feet","x = -2y",NA,"13","5.05","-22","8","117°","3","4x2 + 16x + 48",5,"Female",69,"Black or African American","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",3
"6","654e434ae05e35d574cecf05","R_2dLqBk0xs3u1PyX","High","36 feet","x = -2","x8","13",NA,"-34","6","180°","3","4x2 + 32x + 48",5,"Female",65,"Black or African American","Bachelor’s degree",6
"7","60e5e4a8f7dedf082efd5af9","R_2xLypYghgCbYuJs","Low","54 feet","x = -2y","x15","13","5.05","-34","6","63°","6","4x2 + 16x + 16",2,"Female",56,"White or Caucasian","Bachelor’s degree",5
"8","6454023a00d29eb604027c8f","R_3plOlWzTkF4OTkB","High","36 feet","x = -2y","x15","9","2.060154","42","10","117°","-6","4x2 + 16x + 16",1,"Female",59,"White or Caucasian","Associates or technical degree",1
"9","655c9eb6350be3de2c9f155e","R_22rUc0qencLGLI8","High","113 feet","x - 2 = y","x8","13","2.060154","42","6","117°","-3","4x2 + 16x + 16",3,"Female",66,"Black or African American","Bachelor’s degree",3
"10","601aa8b45608d83083ff9211","R_cT3ZrFICEBOwpYl","High",NA,NA,NA,"13","2.07","-22","6","63°","3","4x2 + 32x + 48",4,"Female",21,"White or Caucasian","High school diploma or GED",5
"11","5d5daa0457be9400014544ab","R_3yK2Ko2mvdv5eyB","Low","113 feet","x = -2","x15","11","2.060154","-22","12","180°","-3","4x2 + 32x + 48",3,"Female",33,"White or Caucasian","Associates or technical degree",4
"12","64f4ffad72a823ca4a654585","R_2CJr1T207otxEZk","Low","113 feet",NA,"x15","13","2.06","-34",NA,NA,NA,NA,4,"Female",35,"Asian","Some college, but no degree",5
"13","656895a927e7b2f8ccd33dbb","R_2AX3QX5tUpeGxCV","High","108 feet","x = -2","x15","13","5.05","-34","6","63°","-3","4x2 + 32x + 48",4,"Female",43,"Other","Associates or technical degree",7
"14","61084cf97f6981fb1f90683e","R_3rVzbnpiayufIEP","Low","54 feet","x = -2y","x15","13","2.06","-34","6","63°","6",NA,4,"Female",24,"White or Caucasian","Some college, but no degree",7
"15","65628f277bcd810f66b36764","R_A57tzEWOLTpzqYV","High","108 feet","x - 2 = y","x15","13","2.06",NA,NA,NA,NA,NA,4,"Female",43,"Asian","Bachelor’s degree",3
"16","6560d46c513110ff4ae5d0c5","R_33ajuN7ACfy0t93","High","54 feet","x = -2y","x15","11","2.06","-22","8","180°",NA,NA,4,"Female",33,"Black or African American","Bachelor’s degree",2
"17","656cab209b8a5cc866d7c808","R_1CCjthvP64fsEiQ","High","36 feet","x = -2","x15","9","2.06","14","12","117°","6","2x2 + 7x + 24",1,"Female",55,"White or Caucasian","High school diploma or GED",3
"18","65602c23bb03869d53e76a34","R_2ZDDplQcZ7kEGwN","Low","113 feet","x = -2y","x15","13","5.05","-34","6","63°","3","4x2 + 32x + 48",5,"Female",27,"Asian","Bachelor’s degree",8
"19","6450ee577358c55508e77ff3","R_3m4Yg3Oreru106d","High","113 feet","x = -2y","x8","13","5.05","-34","6","117°","-3","4x2 + 32x + 48",5,"Female",63,"Black or African American","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",5
"20","555d0683fdf99b3fde8fd4e4","R_3NXsvkwq7LOxJIO","Low","36 feet","x - 2 = y","x15","13","2.06","42","8","297°","-6","4x2 + 16x + 48",0,"Female",58,"White or Caucasian","High school diploma or GED",3
"21","6130948c797e3ff6838513f3","R_1Hq8aFnGjIgKql6","High","54 feet","x = -2","x15","13","2.06","14","12","63°","-3","4x2 + 32x + 48",2,"Female",32,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",6
"22","5c264cc409440500015b5c76","R_2f9HvWaTMtGe2KV","High","113 feet","x - 2 = y","x15","11","2.06","-34","6","63°",NA,NA,6,"Female",50,"White or Caucasian","Bachelor’s degree",6
"23","656cdaba68b29fde6f423183","R_Ua5ThGGpdKRDHQB","Low","108 feet","x = -2y","x8","13","5.05","-34","8","63°",NA,NA,1,"Female",47,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",3
"24","5eddb464a77718acaaa72ab5","R_3e3V5GjBdN4nKwn","Low","36 feet","x = -2","x15","13","5.05","-34","6","63°","-3","4x2 + 32x + 48",2,"Female",32,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",7
"25","654dc7f860fd9cb92c583248","R_1dK0YILhh6yJMnF","High","108 feet","x - 2 = y","x15","11","5.05","-34","6",NA,NA,NA,6,"Female",62,"Black or African American","Bachelor’s degree",3
"26","581291fd072c230001933d38","R_1jZgcbHIT08784I","High","36 feet","x - 2 = y","x15","11","2.06","-34","6","63°","3","4x2 + 16x + 16",3,"Female",25,"White or Caucasian","Associates or technical degree",6
"27","63ea54cae81a2baf10a14930","R_2XncCKbu1sq0Eah","High","36 feet","x = -2","2x5","15","2.06","-22","12","180°","-3","4x2 + 16x + 16",2,"Female",28,"White or Caucasian","Some college, but no degree",2
"28","653555db179dc4e859ef43fb","R_3L2dobv8DsW9EpL","Low","36 feet","x = -2y","x15","13","5.05","-22","12","63°","3","4x2 + 16x + 48",3,"Female",38,"White or Caucasian","High school diploma or GED",4
"29","655f91264d8805f0077f8252","R_3Krx8zuREKt8TfH","Low","113 feet","x - 2 = y","x15","13","2.06","-34","12","63°","-6","4x2 + 32x + 48",4,"Female",32,"Asian","Bachelor’s degree",7
"30","65632f635e9a86ae42bf51eb","R_2QgIsBL7CKc9L5C","High","36 feet","x = -2y","x15","13","5.05","-34",NA,"63°","-6","4x2 + 16x + 16",1,"Female",45,"Black or African American","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",4
"31","579d7407dcff7d0001c7cc41","R_1LNmUhAXESyrdDX","High","54 feet","x - 2 = y","x15","11","2.06","14","6","63°","-6","4x2 + 16x + 16",1,"Female",29,"White or Caucasian","High school diploma or GED",4
"32","654057a9a3cec121cea7c99b","R_shDYKCGwHMUbdGV","High","54 feet","x = -2y","x15","11",NA,NA,"6","180°","-6","4x2 + 16x + 16",4,"Female",68,"Black or African American","Bachelor’s degree",2
"33","583d5dd49c5f2a0001b85f40","R_3rSwHCjryE8Uyfo","Low","113 feet","x = -2y","x8","11","5.05","-34","6","63°",NA,"4x2 + 32x + 48",3,"Female",27,"Asian","Bachelor’s degree",5
