"","ProlificID","ResponseId","Bet","Guess","Advice","AdviserID","GiverCondition","CompetitorID","CompetitorScore","AdviseeScore","AdviseeCondition","Gender","Age","win","bonus","ExpectedBonus"
"1","5484655ffdf99b07b28f22cc","R_Q641AYRBXhykWkx",0,3,"0","5e8bf957b7e6de0e5571b507",1,"650a2156db81142bbac2ca5d",3,4,"Low","Male",75,1,0.3,0.3
"2","54847f1cfdf99b07b28f22f9","R_1mwoLRQbkzkweiu",0,6,"0","60df2a387184bf25da3ae6a2",0,"6175b1093263d977d5f71863",1,2,"High","Male",50,1,0.3,0.165
"3","5484d361fdf99b0379939d5b","R_2B4nH3e7tuEckpo",1,6,"0","5d849ee0a954540019f513dd",1,"5c1a7f152a85450001a876e0",6,5,"Low","Male",46,0,0,0.15
"4","555d0683fdf99b3fde8fd4e4","R_2V84TbmOTlEwgog",0,0,"0","654509bce930185adab23a1a",0,"6514d739f7568fe6b2ebbe35",3,3,"Low","Female",58,1,0.3,0.3
"5","5589c7cefdf99b18bd86cf31","R_1K45xuC98gT9Qcd",1,6,"0","614a74f72a6ff823cff820c2",0,"5f4c9e74da9c148b0d42ecbd",10,8,"Low","Male",40,0,0,0.35
"6","558ab509fdf99b65685f024e","R_ZjWhasayzmtjssh",0,4,"0","5eb17aefc2338227ce362731",1,"65633161b61c0afeebad5d0c",3,4,"Low","Male",38,1,0.3,0.3
"7","559c3e07fdf99b32b55f2d8d","R_332zAhWcmVUPma6",1,7,"1","63b6ffb02943686f4f354741",1,"5b07b71c68eff50001d1c859",6,7,"Low","Male",33,1,0.5,0.3
"8","55a29659fdf99b5ff49937d3","R_1kYsmZWw7uU49t4",0,4,"0","5ede22703409e1042973a050",0,"65633161b61c0afeebad5d0c",3,2,"High","Female",48,0,0,0.165
"9","55a43c83fdf99b02ff6cb0aa","R_2S8NuRuLSsDQYXt",0,3,"1","56e5e6ef25f3bd000a40820c",1,"650a2156db81142bbac2ca5d",3,5,"Low","Male",43,1,0.3,0.3
"10","55b1add5fdf99b6731f04c5a","R_3m7Svc5rT9MmkSK",1,5,"0","60a7cd17ea1e086b7332e7f3",1,"60c0d2e976e12d7d286961d8",5,3,"High","Female",44,0,0,0
"11","55b6e53bfdf99b438f10e3bb","R_vvqi51NyiV96fTP",0,2,"0","64d5067b6cbee9de481d773b",0,"5ead45a386fbbe3c8eebe510",3,3,"High","Male",51,1,0.3,0.3
"12","55bb9ae7fdf99b26d27fda01","R_307bqxvZMUwAiCl",1,5,"1","6117efedb574017076d5b499",1,"5d7047d764b37b0017ffa710",6,9,"Low","Female",37,1,0.5,0.475
"13","55fc1a7c77f33b0010cb229f","R_1LZtr7RP37XDROg",1,4,"0","60ff2c3d915d23318b73ae8d",0,"5f2d95153c1140074cc81b4c",7,9,"Low","Male",33,1,0.5,0.475
"14","5623f6afed6e5a000bc7f219","R_3frlZstLUYXOnct",0,2,"0","62bb42e2f21cfdb280cc975f",0,"655728a618181e2ef6f016cc",2,2,"Low","Male",29,1,0.3,0.165
"15","562e4469733ea00005163785","R_2zxatE4JFn41Pno",0,5,"0","62bb42e2f21cfdb280cc975f",0,"61267e282a445af9eb95beae",3,6,"High","Male",49,1,0.3,0.3
"16","566a3e0e7da0350012b3ec49","R_1LG69zzmkwfryf2",1,5,"1","6307bd3bb93e804d22332b3e",0,"5b07b71c68eff50001d1c859",6,6,"High","Male",47,1,0.5,0.25
"17","567dd32b4f0ef30006dbb718","R_3khz9EgdOQJt3EE",1,5,"1","653956505782634d6f0b83fc",0,"6561055a448e35fafce19e70",5,7,"High","Female",57,1,0.5,0.3
"18","568e7e33e3ef9e000da202a7","R_3Ppihbfa90Pyc4D",0,3,"0","60ce5270f1695ea416c25fc3",1,"6175b1093263d977d5f71863",1,5,"High","Female",58,1,0.3,0.3
"19","56a914f0119265000c6e13c5","R_d1kiBhF6VzezQBj",0,0,"0","6173153923f87c01a847eb5b",0,"606cf604adbb6982bb382881",1,4,"High","Female",39,1,0.3,0.3
"20","56b0ac5fe8b677000cdc0a34","R_1GwwrqvJVoPL7Tj",0,1,"0","56f2a49ced0cf600069131cd",1,"65633161b61c0afeebad5d0c",3,4,"High","Female",46,1,0.3,0.3
"21","56d39b96da2aaa000dab6178","R_3NR58MItZqPvSh1",0,6,"1","653bbf7e04cc8d9994f1f252",0,"655728a618181e2ef6f016cc",2,8,"Low","Male",37,1,0.3,0.3
"22","56e6a66af6ed900006a5867c","R_3ICrmpv1cYrjnBn",0,8,"1","641a604be613385009dd72db",1,"5a6b580de6cc4a0001b6a06b",0,9,"High","Male",43,1,0.3,0.3
"23","56f29effed0cf60006911528","R_2czREcjXHszmThH",0,7,"0","6317511c1dd0acb82cf4b131",0,"5faa369a7112b63051d70135",3,7,"High","Male",47,1,0.3,0.3
"24","56f9364e895094000c8f4967","R_O9InUhtLuHQ33DX",1,6,"1","5f4c20f388eb748264767b49",1,"59933524f9db7d000189560e",6,8,"High","Male",40,1,0.5,0.35
